statement,actual_verdict,model_verdict
"Hillary Clinton was against setting a deadline for withdrawal, but now she wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.",True,True
"Says Texas GOP platform calls for end to teaching ""critical thinking"" in public schools.",True,True
"""At the PEAK of slavery in 1860, only 1.4% of Americans owned slaves. What your history books (don't) tell you is that 3,000 blacks owned a total of 20,000 slaves the same year.""",False,False
"On Virginia’s new marijuana law: ""You can have up to one pound with only a $25 fine.""",True,True
"""FDA finally admits dental fillings are toxic.""",False,False
"The projected $1.8 billion state budget shortfall for 2015-’17 ""actually comes from an assumption based on zero growth. That just doesn’t happen.""",False,True
Says Gov. Bob McDonnell's budget would cut pre-kindergarten programs.,False,False
"""People haven't had a raise -- 90 percent of Americans have not had a raise for 40 years.""",True,False
"""The Taliban went after and murdered"" people identified in the Chelsea Manning leaks.",False,True
"""Nobody is leaving Memphis. That's a myth.""",False,False
"""Corona is so bad, this guy died twice!""",False,False
"Says Alexandria Ocasio-Cortez tweeted, ""Let’s begin ‘The Purge’ to roundup all Conservative traitors.""",False,False
"""I come from the poorest ZIP code in San Antonio.""",True,True
"""Maxine Waters just introduced a bill to re-name Memorial Day — George Floyd Day.""",False,False
"""Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.""",True,False
"""CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.""",False,False
"Says President Barack Obama ""has taken less vacation days than any other president in a generation,"" while Congress ""has taken more vacation days than any other Congress in history.""",False,False
"Says that U.S. Sen. Marco Rubio says troops are leaving Iraq ""too fast.""",True,True
"The cap-and-trade bill will mean ""2 million jobs lost.""",False,False
"Veterans should vote Republican ""because the damn Democrats blocked the VA Healthcare bill again.""",False,False
Queens voters received pre-marked ballots for Joe Biden.,False,False
"""America is No. 1 in wind power.""",True,False
"Congressman Jeff Denham ""has agreed all illegal immigrants should be detained, arrested and deported.""",False,True
"In the past decade, K-12 funding has grown six times faster than the rate of enrollment.",True,False
"""We began seeing the increase in unaccompanied minors going back to last April 2020. This is not something that happened as a result of Joe Biden becoming president.""",True,True
"Says Hitler said, ""This year will go down in history. For the first time, a civilized nation has full gun registration! Our streets will be safer, our police more efficient, and the world will follow our lead into the future!""",False,False
Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,False,False
"In economic growth, ""Obama's best year was slower than Bill Clinton's worst year.""",True,True
"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,False,True
"Says Donald Trump ""has a long history of exporting jobs overseas.""",True,True
"Says a crisis actor played the parts of a shooting victim and the mothers of shooting victims in Las Vegas, Orlando and Thousand Oaks.",False,False
"""The Democrats are very sly. … (in New Hampshire) we have same day voter registration, and to be honest, when Massachusetts elections are not very close, they’re busing them in all over the place.""",False,False
"Mitt Romney said we should let foreclosures ""hit the bottom.""",True,True
"A president must ""obtain Congress' consent before formally accepting the Nobel Prize.""",False,False
"""Congress as a whole is less popular than it’s been since polling was invented.""",True,True
NPR posted a story about the Capitol breach before it happened.,False,False
"College students ""who are NOT U.S. Citizens and who get the PELL Grant"" plan to return to their home countries after getting free gas cards and child care.",False,False
"""On 60 Minutes, Joe said he never met with Hunter and the Burisma CEO. Well, here he is with both.""",False,False
"""In the state of Rhode Island 25 percent of our current physicians are graduates of for-profit medical schools.""",False,False
Did not vote for tax increases as a member of the West Miami City Commission.,False,True
"Says actor Dwayne ""The Rock"" Johnson wore a T-shirt stating: ""We Stand for the flag, we kneel for the fallen.""",False,True
"The incandescent light bulb ""has no effect whatever on the planet.""",False,False
"""Al-Qaida has grown fourfold in five years.""",True,True
"""Covid-19 is NOT killing people. Weak immune systems and bad doctors are.""",False,False
"Say ""Sam Hyde identified as perpitrator (sic) of Beirut explosion""",False,False
Cobb is one of the largest school systems (in the nation) that is debt free.,True,True
"Says ""Bill Clinton and George Bush both say build the Keystone XL.""",True,True
"Says Al Jazeera tweeted, ""#BreakingNews Taliban started abducting minor girls from their home. The parents who are refusing to give their daughters to Taliban are being killed by Taliban fighters.""",False,False
"""Joe Biden’s open border"" means that there are ""more Democrat voters pouring into this country.""",False,False
"""President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.""",True,True
"Says Jeb Bush ""flip-flop-flip(ped) on immigration.""",True,True
"Elizabeth Townsend runs the elections office that omitted a school board race on a ballot and gave a School Board candidate ""faulty advice.""",False,True
"""They have 180 million people, families under what he wants to do, which will basically be socialized medicine — you won’t even have a choice — they want to terminate 180 million plans.""",False,False
"""For too long, Obamacare has caused high premiums and dismal coverage. ... Under Obamacare premiums in job-based coverage have increased by $3,775""",False,False
"""Any government-run 'public' plan ... creates an entitlement that will cost another $1 trillion over the next 10 years.""",True,True
"""Santorum also voted for a teapot museum in North Carolina.""",True,True
"""Nancy Pelosi vows Democrats will raise taxes if they take back the House.""",True,False
"""Very, very, very few people get a pat-down"" when they go through airport security.",False,False
"""A majority of the candidates on this stage have supported amnesty ... I have never supported amnesty.""",True,True
Four out of 10 homicides are committed by gun in this city.,True,True
"""The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.""",True,True
"Under Obamacare, ""The IRS will have access to the American people’s protected health care information.""",False,True
"The Uvalde, Texas, school shooter was a ""transsexual leftist illegal alien named Salvatore Ramos.""",False,False
Health care premiums for consumers have doubled since 2001.,True,True
"""It's been nearly three weeks since the president has commented"" on questions about possible hidden wait lists at veterans hospitals.",True,True
An election worker in Georgia threw away a ballot.,False,False
"After Massachusetts passed a mandatory health insurance law ""their mortality rate went down...it saved lives.""",True,True
"""Today in America, 70 percent of us are earning the same or less than we were 12 years ago, and this is the first time that that has happened this side of World War II.""",True,True
"""Hunters contribute more than $500 million"" to West Virginia.",True,True
Says Scott Brown voted with President Barack Obama 70 percent of the time in 2011.,True,True
"Tax rates were significantly higher ""in the '40s, the '50s, and the '60s.""",True,True
